scenario,policy,mean_profit,mean_revenue,mean_boarded_load_factor,mean_avg_fare,mean_denied_boardings,bump_risk
baseline,static,14402.64,27685.0,0.5539999999999999,220.0,0.0,0.0
baseline,rule_based,17698.29,33656.89,0.79,183.1104859700174,0.0,0.0
baseline,dynamic,16769.09,32489.55,0.7689999999999999,181.45177446809757,0.0,0.0
weak_demand,static,8974.16,20647.5,0.4121111111111111,220.0,0.0,0.0
weak_demand,rule_based,11663.67,25532.56,0.6057222222222222,181.78628400987148,0.0,0.0
weak_demand,dynamic,10899.75,24689.89,0.5987777777777776,176.3926278164955,0.0,0.0
strong_demand,static,22211.61,37750.0,0.7529444444444444,220.0,0.0,0.0
strong_demand,rule_based,22046.38,39549.11,0.9261666666666666,183.9063555946664,0.0,0.0
strong_demand,dynamic,23393.18,39846.96,0.8336666666666666,209.8384462670416,0.0,0.0
very_strong_late_demand,static,22254.14,37867.5,0.7595555555555557,220.0,0.0,0.0
very_strong_late_demand,rule_based,22604.27,40002.42,0.9169444444444446,188.13923373960952,0.0,0.0
very_strong_late_demand,dynamic,23212.52,39788.52,0.8444444444444444,206.08610999864058,0.0,0.0
high_no_show,static,15024.45,27685.0,0.49916666666666665,220.0,0.0,0.0
high_no_show,rule_based,18585.33,33656.89,0.7117777777777776,183.1104859700174,0.0,0.0
high_no_show,dynamic,17657.39,32489.55,0.6906666666666667,181.45177446809757,0.0,0.0
low_no_show,static,13984.32,27685.0,0.5908888888888889,220.0,0.0,0.0
low_no_show,rule_based,17106.09,33656.89,0.8422222222222223,183.1104859700174,0.0,0.0
low_no_show,dynamic,16191.38,32489.55,0.8199444444444446,181.45177446809757,0.0,0.0
business_heavy,static,19536.27,34330.0,0.6872777777777778,220.0,0.0,0.0
business_heavy,rule_based,20033.43,36805.99,0.8617777777777778,183.58024730685952,0.0,0.0
business_heavy,dynamic,19610.75,36129.42,0.8393888888888889,185.3252570806509,0.0,0.0
leisure_heavy,static,12931.67,25785.0,0.5161666666666667,220.0,0.0,0.0
leisure_heavy,rule_based,16965.36,32663.14,0.7669999999999999,182.95505544060586,0.0,0.0
leisure_heavy,dynamic,16109.75,31649.4,0.7530555555555557,180.3882311148779,0.0,0.0
higher_overbooking,static,14402.64,27685.0,0.5539999999999999,220.0,0.0,0.0
higher_overbooking,rule_based,17698.29,33656.89,0.79,183.1104859700174,0.0,0.0
higher_overbooking,dynamic,16769.09,32489.55,0.7689999999999999,181.45177446809757,0.0,0.0
overbook_bump_stress,static,23856.88,41507.5,0.8774444444444444,220.0,0.68,0.09
overbook_bump_stress,rule_based,14277.255763764895,43521.99,1.0,185.76550500518613,12.21,1.0
overbook_bump_stress,dynamic,24115.664032173852,41441.14,0.8843333333333334,218.2123012433793,0.29,0.07
strong_competitor_pressure,static,14402.64,27685.0,0.5539999999999999,220.0,0.0,0.0
strong_competitor_pressure,rule_based,17457.51,33536.44,0.8006111111111112,179.46539462872659,0.0,0.0
strong_competitor_pressure,dynamic,16679.48,32534.76,0.7808888888888887,178.39854405219074,0.0,0.0
