scenario,winner,profit_static,profit_rule_based,profit_dynamic,dynamic_minus_rule,rule_minus_static
baseline,rule_based,14402.64,17698.29,16769.09,-929.2000000000007,3295.6500000000015
weak_demand,rule_based,8974.16,11663.67,10899.75,-763.9200000000001,2689.51
strong_demand,dynamic,22211.61,22046.38,23393.18,1346.7999999999993,-165.22999999999956
very_strong_late_demand,dynamic,22254.14,22604.27,23212.52,608.25,350.130000000001
high_no_show,rule_based,15024.45,18585.33,17657.39,-927.9400000000023,3560.880000000001
low_no_show,rule_based,13984.32,17106.09,16191.38,-914.710000000001,3121.7700000000004
business_heavy,rule_based,19536.27,20033.43,19610.75,-422.6800000000003,497.15999999999985
leisure_heavy,rule_based,12931.67,16965.36,16109.75,-855.6100000000006,4033.6900000000005
higher_overbooking,rule_based,14402.64,17698.29,16769.09,-929.2000000000007,3295.6500000000015
overbook_bump_stress,dynamic,23856.88,14277.255763764895,24115.664032173852,9838.408268408957,-9579.624236235106
strong_competitor_pressure,rule_based,14402.64,17457.51,16679.48,-778.0299999999988,3054.869999999999
