scenario,policy,sales_day,day_to_departure,fare,trajectory_id
baseline,rule_based,1,60,119.0,20
baseline,rule_based,2,59,119.0,20
baseline,rule_based,3,58,119.0,20
baseline,rule_based,4,57,119.0,20
baseline,rule_based,5,56,119.0,20
baseline,rule_based,6,55,119.0,20
baseline,rule_based,7,54,119.0,20
baseline,rule_based,8,53,119.0,20
baseline,rule_based,9,52,119.0,20
baseline,rule_based,10,51,119.0,20
baseline,rule_based,11,50,119.0,20
baseline,rule_based,12,49,119.0,20
baseline,rule_based,13,48,119.0,20
baseline,rule_based,14,47,119.0,20
baseline,rule_based,15,46,119.0,20
baseline,rule_based,16,45,119.0,20
baseline,rule_based,17,44,139.0,20
baseline,rule_based,18,43,139.0,20
baseline,rule_based,19,42,139.0,20
baseline,rule_based,20,41,139.0,20
baseline,rule_based,21,40,159.0,20
baseline,rule_based,22,39,159.0,20
baseline,rule_based,23,38,159.0,20
baseline,rule_based,24,37,159.0,20
baseline,rule_based,25,36,159.0,20
baseline,rule_based,26,35,139.0,20
baseline,rule_based,27,34,159.0,20
baseline,rule_based,28,33,159.0,20
baseline,rule_based,29,32,159.0,20
baseline,rule_based,30,31,159.0,20
baseline,rule_based,31,30,159.0,20
baseline,rule_based,32,29,159.0,20
baseline,rule_based,33,28,159.0,20
baseline,rule_based,34,27,159.0,20
baseline,rule_based,35,26,159.0,20
baseline,rule_based,36,25,159.0,20
baseline,rule_based,37,24,159.0,20
baseline,rule_based,38,23,159.0,20
baseline,rule_based,39,22,159.0,20
baseline,rule_based,40,21,159.0,20
baseline,rule_based,41,20,159.0,20
baseline,rule_based,42,19,159.0,20
baseline,rule_based,43,18,159.0,20
baseline,rule_based,44,17,159.0,20
baseline,rule_based,45,16,159.0,20
baseline,rule_based,46,15,189.0,20
baseline,rule_based,47,14,189.0,20
baseline,rule_based,48,13,189.0,20
baseline,rule_based,49,12,189.0,20
baseline,rule_based,50,11,189.0,20
baseline,rule_based,51,10,189.0,20
baseline,rule_based,52,9,189.0,20
baseline,rule_based,53,8,189.0,20
baseline,rule_based,54,7,189.0,20
baseline,rule_based,55,6,189.0,20
baseline,rule_based,56,5,189.0,20
baseline,rule_based,57,4,189.0,20
baseline,rule_based,58,3,189.0,20
baseline,rule_based,59,2,189.0,20
baseline,rule_based,60,1,189.0,20
baseline,dynamic,1,60,189.0,96
baseline,dynamic,2,59,159.0,96
baseline,dynamic,3,58,139.0,96
baseline,dynamic,4,57,119.0,96
baseline,dynamic,5,56,119.0,96
baseline,dynamic,6,55,119.0,96
baseline,dynamic,7,54,119.0,96
baseline,dynamic,8,53,119.0,96
baseline,dynamic,9,52,119.0,96
baseline,dynamic,10,51,119.0,96
baseline,dynamic,11,50,119.0,96
baseline,dynamic,12,49,119.0,96
baseline,dynamic,13,48,119.0,96
baseline,dynamic,14,47,119.0,96
baseline,dynamic,15,46,119.0,96
baseline,dynamic,16,45,119.0,96
baseline,dynamic,17,44,119.0,96
baseline,dynamic,18,43,119.0,96
baseline,dynamic,19,42,119.0,96
baseline,dynamic,20,41,119.0,96
baseline,dynamic,21,40,119.0,96
baseline,dynamic,22,39,119.0,96
baseline,dynamic,23,38,119.0,96
baseline,dynamic,24,37,119.0,96
baseline,dynamic,25,36,119.0,96
baseline,dynamic,26,35,119.0,96
baseline,dynamic,27,34,119.0,96
baseline,dynamic,28,33,119.0,96
baseline,dynamic,29,32,119.0,96
baseline,dynamic,30,31,119.0,96
baseline,dynamic,31,30,119.0,96
baseline,dynamic,32,29,119.0,96
baseline,dynamic,33,28,119.0,96
baseline,dynamic,34,27,159.0,96
baseline,dynamic,35,26,189.0,96
baseline,dynamic,36,25,220.0,96
baseline,dynamic,37,24,189.0,96
baseline,dynamic,38,23,189.0,96
baseline,dynamic,39,22,189.0,96
baseline,dynamic,40,21,189.0,96
baseline,dynamic,41,20,189.0,96
baseline,dynamic,42,19,189.0,96
baseline,dynamic,43,18,189.0,96
baseline,dynamic,44,17,189.0,96
baseline,dynamic,45,16,189.0,96
baseline,dynamic,46,15,189.0,96
baseline,dynamic,47,14,189.0,96
baseline,dynamic,48,13,189.0,96
baseline,dynamic,49,12,189.0,96
baseline,dynamic,50,11,189.0,96
baseline,dynamic,51,10,189.0,96
baseline,dynamic,52,9,189.0,96
baseline,dynamic,53,8,189.0,96
baseline,dynamic,54,7,189.0,96
baseline,dynamic,55,6,189.0,96
baseline,dynamic,56,5,189.0,96
baseline,dynamic,57,4,189.0,96
baseline,dynamic,58,3,189.0,96
baseline,dynamic,59,2,189.0,96
baseline,dynamic,60,1,220.0,96
strong_demand,rule_based,1,60,119.0,51
strong_demand,rule_based,2,59,119.0,51
strong_demand,rule_based,3,58,119.0,51
strong_demand,rule_based,4,57,119.0,51
strong_demand,rule_based,5,56,119.0,51
strong_demand,rule_based,6,55,119.0,51
strong_demand,rule_based,7,54,119.0,51
strong_demand,rule_based,8,53,119.0,51
strong_demand,rule_based,9,52,119.0,51
strong_demand,rule_based,10,51,119.0,51
strong_demand,rule_based,11,50,119.0,51
strong_demand,rule_based,12,49,119.0,51
strong_demand,rule_based,13,48,119.0,51
strong_demand,rule_based,14,47,119.0,51
strong_demand,rule_based,15,46,119.0,51
strong_demand,rule_based,16,45,119.0,51
strong_demand,rule_based,17,44,139.0,51
strong_demand,rule_based,18,43,159.0,51
strong_demand,rule_based,19,42,159.0,51
strong_demand,rule_based,20,41,159.0,51
strong_demand,rule_based,21,40,159.0,51
strong_demand,rule_based,22,39,139.0,51
strong_demand,rule_based,23,38,159.0,51
strong_demand,rule_based,24,37,159.0,51
strong_demand,rule_based,25,36,159.0,51
strong_demand,rule_based,26,35,159.0,51
strong_demand,rule_based,27,34,159.0,51
strong_demand,rule_based,28,33,159.0,51
strong_demand,rule_based,29,32,159.0,51
strong_demand,rule_based,30,31,159.0,51
strong_demand,rule_based,31,30,159.0,51
strong_demand,rule_based,32,29,159.0,51
strong_demand,rule_based,33,28,159.0,51
strong_demand,rule_based,34,27,159.0,51
strong_demand,rule_based,35,26,159.0,51
strong_demand,rule_based,36,25,159.0,51
strong_demand,rule_based,37,24,159.0,51
strong_demand,rule_based,38,23,159.0,51
strong_demand,rule_based,39,22,159.0,51
strong_demand,rule_based,40,21,159.0,51
strong_demand,rule_based,41,20,159.0,51
strong_demand,rule_based,42,19,159.0,51
strong_demand,rule_based,43,18,159.0,51
strong_demand,rule_based,44,17,189.0,51
strong_demand,rule_based,45,16,189.0,51
strong_demand,rule_based,46,15,189.0,51
strong_demand,rule_based,47,14,189.0,51
strong_demand,rule_based,48,13,189.0,51
strong_demand,rule_based,49,12,189.0,51
strong_demand,rule_based,50,11,189.0,51
strong_demand,rule_based,51,10,189.0,51
strong_demand,rule_based,52,9,189.0,51
strong_demand,rule_based,53,8,189.0,51
strong_demand,rule_based,54,7,189.0,51
strong_demand,rule_based,55,6,189.0,51
strong_demand,rule_based,56,5,189.0,51
strong_demand,rule_based,57,4,189.0,51
strong_demand,rule_based,58,3,189.0,51
strong_demand,rule_based,59,2,189.0,51
strong_demand,rule_based,60,1,189.0,51
strong_demand,dynamic,1,60,189.0,12
strong_demand,dynamic,2,59,189.0,12
strong_demand,dynamic,3,58,189.0,12
strong_demand,dynamic,4,57,189.0,12
strong_demand,dynamic,5,56,189.0,12
strong_demand,dynamic,6,55,189.0,12
strong_demand,dynamic,7,54,189.0,12
strong_demand,dynamic,8,53,189.0,12
strong_demand,dynamic,9,52,189.0,12
strong_demand,dynamic,10,51,189.0,12
strong_demand,dynamic,11,50,189.0,12
strong_demand,dynamic,12,49,189.0,12
strong_demand,dynamic,13,48,189.0,12
strong_demand,dynamic,14,47,189.0,12
strong_demand,dynamic,15,46,189.0,12
strong_demand,dynamic,16,45,189.0,12
strong_demand,dynamic,17,44,189.0,12
strong_demand,dynamic,18,43,189.0,12
strong_demand,dynamic,19,42,189.0,12
strong_demand,dynamic,20,41,189.0,12
strong_demand,dynamic,21,40,189.0,12
strong_demand,dynamic,22,39,189.0,12
strong_demand,dynamic,23,38,189.0,12
strong_demand,dynamic,24,37,189.0,12
strong_demand,dynamic,25,36,189.0,12
strong_demand,dynamic,26,35,189.0,12
strong_demand,dynamic,27,34,189.0,12
strong_demand,dynamic,28,33,189.0,12
strong_demand,dynamic,29,32,189.0,12
strong_demand,dynamic,30,31,189.0,12
strong_demand,dynamic,31,30,189.0,12
strong_demand,dynamic,32,29,189.0,12
strong_demand,dynamic,33,28,189.0,12
strong_demand,dynamic,34,27,189.0,12
strong_demand,dynamic,35,26,189.0,12
strong_demand,dynamic,36,25,220.0,12
strong_demand,dynamic,37,24,189.0,12
strong_demand,dynamic,38,23,189.0,12
strong_demand,dynamic,39,22,189.0,12
strong_demand,dynamic,40,21,189.0,12
strong_demand,dynamic,41,20,189.0,12
strong_demand,dynamic,42,19,189.0,12
strong_demand,dynamic,43,18,189.0,12
strong_demand,dynamic,44,17,189.0,12
strong_demand,dynamic,45,16,189.0,12
strong_demand,dynamic,46,15,189.0,12
strong_demand,dynamic,47,14,189.0,12
strong_demand,dynamic,48,13,220.0,12
strong_demand,dynamic,49,12,220.0,12
strong_demand,dynamic,50,11,220.0,12
strong_demand,dynamic,51,10,220.0,12
strong_demand,dynamic,52,9,220.0,12
strong_demand,dynamic,53,8,220.0,12
strong_demand,dynamic,54,7,220.0,12
strong_demand,dynamic,55,6,220.0,12
strong_demand,dynamic,56,5,220.0,12
strong_demand,dynamic,57,4,220.0,12
strong_demand,dynamic,58,3,220.0,12
strong_demand,dynamic,59,2,220.0,12
strong_demand,dynamic,60,1,220.0,12
very_strong_late_demand,rule_based,1,60,119.0,44
very_strong_late_demand,rule_based,2,59,119.0,44
very_strong_late_demand,rule_based,3,58,119.0,44
very_strong_late_demand,rule_based,4,57,119.0,44
very_strong_late_demand,rule_based,5,56,119.0,44
very_strong_late_demand,rule_based,6,55,119.0,44
very_strong_late_demand,rule_based,7,54,119.0,44
very_strong_late_demand,rule_based,8,53,119.0,44
very_strong_late_demand,rule_based,9,52,119.0,44
very_strong_late_demand,rule_based,10,51,119.0,44
very_strong_late_demand,rule_based,11,50,119.0,44
very_strong_late_demand,rule_based,12,49,119.0,44
very_strong_late_demand,rule_based,13,48,119.0,44
very_strong_late_demand,rule_based,14,47,119.0,44
very_strong_late_demand,rule_based,15,46,119.0,44
very_strong_late_demand,rule_based,16,45,119.0,44
very_strong_late_demand,rule_based,17,44,159.0,44
very_strong_late_demand,rule_based,18,43,139.0,44
very_strong_late_demand,rule_based,19,42,159.0,44
very_strong_late_demand,rule_based,20,41,159.0,44
very_strong_late_demand,rule_based,21,40,159.0,44
very_strong_late_demand,rule_based,22,39,159.0,44
very_strong_late_demand,rule_based,23,38,159.0,44
