run_id,seed,scenario,policy,profit,revenue,boarded_load_factor,accepted_booking_load_factor,booking_rate,avg_fare,denied_boardings,no_show_count,ticket_revenue,ancillary_revenue,total_cost
0,2026,baseline,static,13889.0,27000.0,0.5388888888888889,0.6,0.5837837837837838,220.0,0,11,23760.0,3240.0,13111.0
1,2027,baseline,static,18501.0,33250.0,0.6833333333333333,0.7388888888888889,0.7189189189189189,220.0,0,10,29260.0,3990.0,14749.0
2,2028,baseline,static,10521.0,22750.0,0.46111111111111114,0.5055555555555555,0.4918918918918919,220.0,0,8,20020.0,2730.0,12229.0
3,2029,baseline,static,14822.0,28500.0,0.5888888888888889,0.6333333333333333,0.6162162162162163,220.0,0,8,25080.0,3420.0,13678.0
4,2030,baseline,static,15263.0,28500.0,0.55,0.6333333333333333,0.6162162162162163,220.0,0,15,25080.0,3420.0,13237.0
5,2031,baseline,static,14702.0,27750.0,0.5333333333333333,0.6166666666666667,0.6,220.0,0,15,24420.0,3330.0,13048.0
6,2032,baseline,static,11084.0,23250.0,0.45555555555555555,0.5166666666666667,0.5027027027027027,220.0,0,11,20460.0,2790.0,12166.0
7,2033,baseline,static,11706.0,24250.0,0.4888888888888889,0.5388888888888889,0.5243243243243243,220.0,0,9,21340.0,2910.0,12544.0
8,2034,baseline,static,15011.0,28500.0,0.5722222222222222,0.6333333333333333,0.6162162162162163,220.0,0,11,25080.0,3420.0,13489.0
9,2035,baseline,static,16383.0,30250.0,0.6055555555555555,0.6722222222222223,0.654054054054054,220.0,0,12,26620.0,3630.0,13867.0
10,2036,baseline,static,16198.0,29750.0,0.5777777777777777,0.6611111111111111,0.6432432432432432,220.0,0,15,26180.0,3570.0,13552.0
11,2037,baseline,static,14887.0,28250.0,0.5611111111111111,0.6277777777777778,0.6108108108108108,220.0,0,12,24860.0,3390.0,13363.0
12,2038,baseline,static,12080.0,24750.0,0.5,0.55,0.5351351351351351,220.0,0,9,21780.0,2970.0,12670.0
13,2039,baseline,static,14700.0,28000.0,0.5555555555555556,0.6222222222222222,0.6054054054054054,220.0,0,12,24640.0,3360.0,13300.0
14,2040,baseline,static,14265.0,27250.0,0.5277777777777778,0.6055555555555555,0.5891891891891892,220.0,0,14,23980.0,3270.0,12985.0
15,2041,baseline,static,12265.0,25250.0,0.5277777777777778,0.5611111111111111,0.5459459459459459,220.0,0,6,22220.0,3030.0,12985.0
16,2042,baseline,static,13763.0,27000.0,0.55,0.6,0.5837837837837838,220.0,0,9,23760.0,3240.0,13237.0
