scenario,profit_static,delta_rule_minus_static,delta_dynamic_minus_static
baseline,14402.64,3295.6500000000015,2366.4500000000007
business_heavy,19536.27,497.15999999999985,74.47999999999956
high_no_show,15024.45,3560.880000000001,2632.9399999999987
higher_overbooking,14402.64,3295.6500000000015,2366.4500000000007
leisure_heavy,12931.67,4033.6900000000005,3178.08
low_no_show,13984.32,3121.7700000000004,2207.0599999999995
overbook_bump_stress,23856.88,-9579.624236235106,258.7840321738513
strong_competitor_pressure,14402.64,3054.869999999999,2276.84
strong_demand,22211.61,-165.22999999999956,1181.5699999999997
very_strong_late_demand,22254.14,350.130000000001,958.380000000001
weak_demand,8974.16,2689.51,1925.5900000000001
