scenario,policy,mean_profit,mean_revenue,mean_boarded_load_factor,mean_accepted_booking_load_factor,mean_booking_rate,mean_avg_fare,mean_denied_boardings,bump_risk
baseline,static,14402.64,27685.0,0.5539999999999999,0.6152222222222222,0.5985945945945946,220.0,0.0,0.0
baseline,rule_based,17698.29,33656.89,0.79,0.8772777777777779,0.8535675675675676,183.1104859700174,0.0,0.0
baseline,dynamic,16769.09,32489.55,0.7689999999999999,0.8537777777777777,0.8307027027027027,181.45177446809757,0.0,0.0
weak_demand,static,8974.16,20647.5,0.4121111111111111,0.4588333333333334,0.4464324324324325,220.0,0.0,0.0
weak_demand,rule_based,11663.67,25532.56,0.6057222222222222,0.6696666666666666,0.6515675675675675,181.78628400987148,0.0,0.0
weak_demand,dynamic,10899.75,24689.89,0.5987777777777776,0.6648333333333334,0.6468648648648648,176.3926278164955,0.0,0.0
strong_demand,static,22211.61,37750.0,0.7529444444444444,0.8388888888888889,0.8162162162162165,220.0,0.0,0.0
strong_demand,rule_based,22046.38,39549.11,0.9261666666666666,1.0271666666666668,0.9994054054054056,183.9063555946664,0.0,0.0
strong_demand,dynamic,23393.18,39846.96,0.8336666666666666,0.9236111111111112,0.8986486486486488,209.8384462670416,0.0,0.0
very_strong_late_demand,static,22254.14,37867.5,0.7595555555555557,0.8414999999999999,0.8187567567567566,220.0,0.0,0.0
very_strong_late_demand,rule_based,22604.27,40002.42,0.9169444444444446,1.0187777777777776,0.9912432432432432,188.13923373960952,0.0,0.0
very_strong_late_demand,dynamic,23212.52,39788.52,0.8444444444444444,0.9386666666666664,0.9132972972972974,206.08610999864058,0.0,0.0
high_no_show,static,15024.45,27685.0,0.49916666666666665,0.6152222222222222,0.5985945945945946,220.0,0.0,0.0
high_no_show,rule_based,18585.33,33656.89,0.7117777777777776,0.8772777777777779,0.8535675675675676,183.1104859700174,0.0,0.0
high_no_show,dynamic,17657.39,32489.55,0.6906666666666667,0.8537777777777777,0.8307027027027027,181.45177446809757,0.0,0.0
low_no_show,static,13984.32,27685.0,0.5908888888888889,0.6152222222222222,0.5985945945945946,220.0,0.0,0.0
low_no_show,rule_based,17106.09,33656.89,0.8422222222222223,0.8772777777777779,0.8535675675675676,183.1104859700174,0.0,0.0
low_no_show,dynamic,16191.38,32489.55,0.8199444444444446,0.8537777777777777,0.8307027027027027,181.45177446809757,0.0,0.0
business_heavy,static,19536.27,34330.0,0.6872777777777778,0.762888888888889,0.7422702702702701,220.0,0.0,0.0
business_heavy,rule_based,20033.43,36805.99,0.8617777777777778,0.9572777777777776,0.9314054054054053,183.58024730685952,0.0,0.0
business_heavy,dynamic,19610.75,36129.42,0.8393888888888889,0.9319444444444447,0.9067567567567569,185.3252570806509,0.0,0.0
leisure_heavy,static,12931.67,25785.0,0.5161666666666667,0.573,0.5575135135135136,220.0,0.0,0.0
leisure_heavy,rule_based,16965.36,32663.14,0.7669999999999999,0.852,0.828972972972973,182.95505544060586,0.0,0.0
leisure_heavy,dynamic,16109.75,31649.4,0.7530555555555557,0.836,0.8134054054054054,180.3882311148779,0.0,0.0
higher_overbooking,static,14402.64,27685.0,0.5539999999999999,0.6152222222222222,0.565,220.0,0.0,0.0
higher_overbooking,rule_based,17698.29,33656.89,0.79,0.8772777777777779,0.8056632653061224,183.1104859700174,0.0,0.0
higher_overbooking,dynamic,16769.09,32489.55,0.7689999999999999,0.8537777777777777,0.7840816326530612,181.45177446809757,0.0,0.0
overbook_bump_stress,static,23856.88,41507.5,0.8774444444444444,0.9223888888888889,0.8219306930693071,220.0,0.68,0.09
overbook_bump_stress,rule_based,14277.255763764895,43521.99,1.0,1.1206111111111108,0.9985643564356437,185.76550500518613,12.21,1.0
overbook_bump_stress,dynamic,24115.664032173852,41441.14,0.8843333333333334,0.9275,0.8264851485148514,218.2123012433793,0.29,0.07
strong_competitor_pressure,static,14402.64,27685.0,0.5539999999999999,0.6152222222222222,0.5985945945945946,220.0,0.0,0.0
strong_competitor_pressure,rule_based,17457.51,33536.44,0.8006111111111112,0.8892222222222221,0.8651891891891893,179.46539462872659,0.0,0.0
strong_competitor_pressure,dynamic,16679.48,32534.76,0.7808888888888887,0.8668888888888889,0.8434594594594594,178.39854405219074,0.0,0.0
